Frame	RMSE
736	300.0279
737	303.7665
738	324.0099
739	266.5704
740	498.1680
741	293.7753
742	300.1392
743	342.3256
744	348.4424
745	357.5398
746	684.9255
747	422.5434
748	584.5061
749	540.4053
750	2777.2235
751	579.6093
752	676.6941
753	3212.9021
754	1019.5737
755	788.0177
756	8642.3931
757	13107.0472
758	4743.2942
759	3079.3160
760	1725.6757
761	1720.6689
762	1664.3644
763	1255.7685
764	728.2308
765	844.5029
766	793.7499
767	835.3199
768	1384.1897
769	1400.7313
770	1639.7533
771	2295.0511
772	1708.2012
773	2926.7026
774	1467.7696
775	1531.8546
776	1314.3762
777	876.0774
778	982.1495
779	817.8916
780	653.7338
781	644.6501
782	655.6609
783	694.0429
784	670.5277
785	611.8525
786	626.7052
787	576.7728
788	532.0735
789	605.4510
790	481.0652
791	526.4011
792	537.4665
793	602.9797
794	555.3745
795	506.2190
796	441.5000
797	423.0859
798	433.1008
799	431.1400
800	457.8917
801	485.6759
802	442.5125
803	443.8048
804	449.7613
805	569.3032
806	664.0136
807	550.5190
808	540.6156
809	620.2073
810	629.4555
811	693.0107
812	739.5939
813	758.8246
814	772.8820
815	763.1693
816	765.2792
817	776.6647
818	778.5466
819	781.2092
820	798.7175
821	812.2567
822	803.1444
823	762.1263
824	1707.0471
825	1190.9293
826	1363.8540
827	1397.1935
828	1640.1379
829	1283.7469
830	1037.8357
831	1305.5438
832	1020.2409
833	1077.2606
834	804.4168
835	902.5239
836	887.1914
837	903.4174
838	899.4935
839	1081.3250
840	937.8646
841	913.6355
842	793.5617
843	634.3631
844	580.2318
845	536.4505
846	909.5258
847	624.7892
848	642.4769
849	1022.2147
850	1203.7069
851	1876.3797
852	1180.9139
853	1300.7122
854	1243.3734
855	1938.5506
856	3360.3804
857	4302.3578
858	4315.7581
859	4027.8463
860	5239.7460
861	4108.5412
862	4152.2563
863	5007.7351
864	3810.8861
865	3871.4981
866	3906.3942
867	8047.1100
868	3304.1458
869	2978.3962
870	3959.0556
871	3095.0167
872	3622.9779
873	3445.1757
874	3039.2476
875	3074.0563
876	11532.0057
877	3376.8831
878	4566.3574
879	5148.4650
880	7772.3322
881	4600.1933
882	2995.8594
